user_id,anime_id,rating
1,37521,9
1,8246,7
1,36949,8
1,38408,8
1,34599,8
1,16894,7
1,11771,7
1,38826,8
1,30831,7
1,37965,9
1,11061,9
1,32282,8
1,28851,9
1,40221,8
1,18679,6
1,38000,9
1,32281,10
1,22535,9
1,1575,10
1,24415,7
1,19,9
1,35849,6
1,20,10
1,37999,8
1,1735,10
1,30484,10
1,37450,10
1,36259,6
1,13759,7
1,35788,8
1,39587,9
1,31240,8
1,13667,8
1,14749,7
1,34134,7
1,30276,8
1,19815,8
1,11577,10
1,10589,7
1,38329,9
1,28755,8
1,154,8
1,22199,7
1,11371,7
1,16498,10
1,25777,10
1,35760,10
1,28171,8
1,40902,7
1,199,10
1,33486,8
1,37497,8
1,31043,9
1,21881,5
1,11757,5
1,32188,10
1,16870,9
1,39547,9
1,23847,8
1,38731,8
1,33161,8
1,30230,8
1,31964,9
1,38671,7
1,40956,7
1,5114,10
1,37349,7
1,20583,8
1,28891,8
1,1535,9
1,2472,7
1,23273,9
1,6325,7
1,35847,7
1,35507,7
1,37779,9
1,9253,10
1,22,9
1,38691,9
1,4053,9
1,995,8
1,5081,8
1,9919,8
1,6547,6
1,32935,8
1,36456,8
1,40776,9
1,37259,8
1,2144,6
1,936,6
1,442,7
1,32937,7
1,37430,8
1,18689,8
1,4437,7
1,18753,7
1,14813,8
1,33352,7
1,39940,7
1,4224,9
1,41353,8
1,38883,8
1,2752,8
2,34933,8
2,32182,9
2,10620,8
2,29575,8
2,37086,8
2,189,8
2,22535,8
2,1604,9
2,23755,9
2,34599,7
2,1735,9
2,28961,7
2,30276,9
2,34134,9
2,11499,7
2,29786,8
2,16498,9
2,9253,9
2,3455,8
2,22319,8
2,20,9
2,35581,8
2,31580,7
2,5040,9
2,32872,7
2,368,8
2,28171,9
2,5762,7
2,20899,9
2,35028,8
2,14719,9
2,31964,8
2,33486,9
2,1575,9
2,1535,10
2,28223,8
2,71,8
2,38671,8
2,31740,7
2,15,9
2,26055,9
2,2904,10
2,34542,7
2,11061,10
2,8074,6
2,226,8
2,24703,8
2,270,9
2,263,10
2,7661,8
2,15451,9
4,5630,8
4,61,7
4,2904,10
4,1575,10
4,59,7
4,4224,9
4,656,8
4,4744,5
4,3549,8
4,1542,8
4,4548,8
4,4551,9
4,380,7
4,120,9
4,16,9
4,3359,7
4,476,7
4,1571,9
4,128,5
4,127,7
4,3731,9
4,4725,7
4,381,7
4,644,7
4,123,10
4,71,8
4,1142,9
4,356,8
4,177,9
4,2035,9
4,105,8
4,3091,9
4,861,8
4,155,5
4,595,7
4,156,7
4,2105,7
4,969,9
4,5300,7
4,124,7
4,1535,10
4,345,8
4,1562,8
4,4918,8
4,104,8
4,3457,9
4,4752,9
4,807,7
4,4938,8
4,2685,8
4,178,8
4,393,5
4,530,7
4,68,7
4,150,9
4,819,8
4,1222,8
4,74,8
4,7103,7
4,371,7
4,4898,7
4,232,9
4,372,9
4,4975,6
4,831,7
4,578,7
4,743,7
4,101,8
4,5680,8
4,1699,9
4,4477,9
4,3467,7
4,1029,7
4,6023,7
4,3470,8
4,5530,7
4,907,7
4,1601,7
4,2369,8
4,957,8
4,4081,5
4,1914,8
4,561,7
4,355,5
4,100,7
4,179,6
4,1689,10
4,853,9
4,694,5
4,238,7
4,1043,7
4,145,8
4,849,8
4,2683,7
4,1698,8
4,1860,8
4,3655,8
4,2926,8
4,1691,8
4,6045,10
4,1579,9
4,3392,7
4,146,6
4,189,7
4,192,7
4,190,7
4,182,8
4,435,8
4,585,9
4,334,8
4,158,6
4,273,7
4,5030,5
4,1563,9
4,149,7
4,690,7
4,191,7
4,164,7
7,11597,7
7,15315,8
7,19815,8
7,18897,7
7,16067,7
7,2926,7
7,19221,7
7,10620,9
7,18245,8
7,7647,7
7,5680,9
7,21995,8
7,11433,9
7,8768,6
7,431,9
7,14713,7
7,12355,9
7,7088,7
7,20785,8
7,2966,9
7,9756,8
7,6007,9
7,10793,8
7,9617,10
7,8425,8
7,17895,9
7,23289,7
7,5114,10
7,226,9
7,19163,8
7,5341,9
7,15583,7
7,4181,10
7,21405,8
7,15809,8
7,5081,8
7,2167,9
7,21881,7
7,10521,9
7,14289,9
7,20021,8
7,7791,9
7,710,6
7,1691,7
7,15379,8
7,5958,5
7,16001,8
7,20047,8
7,13759,10
7,2476,7
7,199,10
7,21843,8
7,14833,7
7,16498,8
7,8407,5
7,11887,9
7,10711,7
7,8476,7
7,16762,8
7,11757,8
7,15775,9
7,6880,7
7,11499,7
7,11981,9
7,8676,8
7,22199,8
7,1195,8
7,3712,7
7,1840,8
7,11319,8
7,14813,7
7,10162,10
7,6547,9
7,4224,8
7,14227,9
7,8074,7
7,16011,8
7,22319,9
7,6205,5
7,11617,7
7,15037,7
7,13161,7
7,6682,6
7,11759,7
7,102,7
7,7054,8
7,22789,9
